Superscenario,SubscenarioNumber,ModuleCode,QuantityCodeMain,SubsectorCode,FuelCode,CPAT Code,CPAT Code,Helper Column,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1, 1 ,mit,ptp,foo,gso,mit.ptp.gso.foo.1,chn.mit.ptp.gso.foo.1,2889, 0.504 , 0.448 , 0.378 , 0.565 , 0.542 , 0.538 , 0.535 , 0.530 , 0.521 , 0.525 , 0.515 , 0.506 , 0.498 , 0.488 
1, 1 ,mit,ptp,foo,die,mit.ptp.die.foo.1,chn.mit.ptp.die.foo.1,2890, 0.530 , 0.477 , 0.396 , 0.590 , 0.567 , 0.563 , 0.559 , 0.555 , 0.545 , 0.549 , 0.539 , 0.530 , 0.520 , 0.511 
1, 1 ,mit,ptp,foo,lpg,mit.ptp.lpg.foo.1,chn.mit.ptp.lpg.foo.1,2891, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,foo,ker,mit.ptp.ker.foo.1,chn.mit.ptp.ker.foo.1,2892, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,foo,oop,mit.ptp.oop.foo.1,chn.mit.ptp.oop.foo.1,2893, 63.732 , 64.864 , 30.950 , 46.186 , 44.332 , 44.037 , 43.743 , 43.375 , 42.628 , 42.951 , 42.158 , 41.429 , 40.701 , 39.945 
1, 1 ,mit,ptp,foo,bio,mit.ptp.bio.foo.1,chn.mit.ptp.bio.foo.1,2894, 10.491 , 10.677 , 5.095 , 5.351 , 5.243 , 5.153 , 5.068 , 5.004 , 4.919 , 4.866 , 4.803 , 4.747 , 4.691 , 4.635 
1, 1 ,mit,ptp,foo,ren,mit.ptp.ren.foo.1,chn.mit.ptp.ren.foo.1,2895, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
1, 1 ,mit,ptp,ftr,coa,mit.ptp.coa.ftr.1,chn.mit.ptp.coa.ftr.1,3112, 4.296 , 4.372 , 2.086 , 2.191 , 2.147 , 2.110 , 2.075 , 2.049 , 2.014 , 1.992 , 1.966 , 1.944 , 1.921 , 1.898 
1, 1 ,mit,ptp,ftr,nga,mit.ptp.nga.ftr.1,chn.mit.ptp.nga.ftr.1,3113, 6.975 , 5.943 , 5.141 , 4.921 , 4.821 , 4.776 , 4.749 , 4.738 , 4.730 , 4.941 , 4.875 , 4.802 , 4.743 , 4.673 
1, 1 ,mit,ptp,ftr,gso,mit.ptp.gso.ftr.1,chn.mit.ptp.gso.ftr.1,3114, 0.504 , 0.448 , 0.378 , 0.565 , 0.542 , 0.538 , 0.535 , 0.530 , 0.521 , 0.525 , 0.515 , 0.506 , 0.498 , 0.488 
1, 1 ,mit,ptp,ftr,die,mit.ptp.die.ftr.1,chn.mit.ptp.die.ftr.1,3115, 0.590 , 0.567 , 0.563 , 0.559 , 0.555 , 0.545 , 0.549 , 0.539 , 0.530 , 0.520 , 0.511 , 0.502 , 0.492 , 0.482 
1, 1 ,mit,ptp,ftr,lpg,mit.ptp.lpg.ftr.1,chn.mit.ptp.lpg.ftr.1,3116, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,ftr,ker,mit.ptp.ker.ftr.1,chn.mit.ptp.ker.ftr.1,3117, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,ftr,oop,mit.ptp.oop.ftr.1,chn.mit.ptp.oop.ftr.1,3118, 63.732 , 64.864 , 30.950 , 46.186 , 44.332 , 44.037 , 43.743 , 43.375 , 42.628 , 42.951 , 42.158 , 41.429 , 40.701 , 39.945 
1, 1 ,mit,ptp,ftr,bio,mit.ptp.bio.ftr.1,chn.mit.ptp.bio.ftr.1,3119, 10.491 , 10.677 , 5.095 , 5.351 , 5.243 , 5.153 , 5.068 , 5.004 , 4.919 , 4.866 , 4.803 , 4.747 , 4.691 , 4.635 
1, 1 ,mit,ptp,ftr,ren,mit.ptp.ren.ftr.1,chn.mit.ptp.ren.ftr.1,3120, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
1, 1 ,mit,ptp,irn,coa,mit.ptp.coa.irn.1,chn.mit.ptp.coa.irn.1,2962, 4.296 , 4.372 , 2.086 , 2.191 , 2.147 , 2.110 , 2.075 , 2.049 , 2.014 , 1.992 , 1.966 , 1.944 , 1.921 , 1.898 
1, 1 ,mit,ptp,irn,nga,mit.ptp.nga.irn.1,chn.mit.ptp.nga.irn.1,2963, 6.975 , 5.943 , 5.141 , 4.921 , 4.821 , 4.776 , 4.749 , 4.738 , 4.730 , 4.941 , 4.875 , 4.802 , 4.743 , 4.673 
1, 1 ,mit,ptp,irn,gso,mit.ptp.gso.irn.1,chn.mit.ptp.gso.irn.1,2964, 0.504 , 0.448 , 0.378 , 0.565 , 0.542 , 0.538 , 0.535 , 0.530 , 0.521 , 0.525 , 0.515 , 0.506 , 0.498 , 0.488 
1, 1 ,mit,ptp,irn,die,mit.ptp.die.irn.1,chn.mit.ptp.die.irn.1,2965, 0.530 , 0.477 , 0.396 , 0.590 , 0.567 , 0.563 , 0.559 , 0.555 , 0.545 , 0.549 , 0.539 , 0.530 , 0.520 , 0.511 
1, 1 ,mit,ptp,irn,lpg,mit.ptp.lpg.irn.1,chn.mit.ptp.lpg.irn.1,2966, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,irn,ker,mit.ptp.ker.irn.1,chn.mit.ptp.ker.irn.1,2967, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,irn,oop,mit.ptp.oop.irn.1,chn.mit.ptp.oop.irn.1,2968, 63.732 , 64.864 , 30.950 , 46.186 , 44.332 , 44.037 , 43.743 , 43.375 , 42.628 , 42.951 , 42.158 , 41.429 , 40.701 , 39.945 
1, 1 ,mit,ptp,irn,bio,mit.ptp.bio.irn.1,chn.mit.ptp.bio.irn.1,2969, 10.491 , 10.677 , 5.095 , 5.351 , 5.243 , 5.153 , 5.068 , 5.004 , 4.919 , 4.866 , 4.803 , 4.747 , 4.691 , 4.635 
1, 1 ,mit,ptp,irn,ren,mit.ptp.ren.irn.1,chn.mit.ptp.ren.irn.1,2970, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
1, 1 ,mit,ptp,mac,coa,mit.ptp.coa.mac.1,chn.mit.ptp.coa.mac.1,3012, 4.296 , 4.372 , 2.086 , 2.191 , 2.147 , 2.110 , 2.075 , 2.049 , 2.014 , 1.992 , 1.966 , 1.944 , 1.921 , 1.898 
1, 1 ,mit,ptp,mac,nga,mit.ptp.nga.mac.1,chn.mit.ptp.nga.mac.1,3013, 6.975 , 5.943 , 5.141 , 4.921 , 4.821 , 4.776 , 4.749 , 4.738 , 4.730 , 4.941 , 4.875 , 4.802 , 4.743 , 4.673 
1, 1 ,mit,ptp,mac,gso,mit.ptp.gso.mac.1,chn.mit.ptp.gso.mac.1,3014, 0.504 , 0.448 , 0.378 , 0.565 , 0.542 , 0.538 , 0.535 , 0.530 , 0.521 , 0.525 , 0.515 , 0.506 , 0.498 , 0.488 
1, 1 ,mit,ptp,mac,die,mit.ptp.die.mac.1,chn.mit.ptp.die.mac.1,3015, 0.530 , 0.477 , 0.396 , 0.590 , 0.567 , 0.563 , 0.559 , 0.555 , 0.545 , 0.549 , 0.539 , 0.530 , 0.520 , 0.511 
1, 1 ,mit,ptp,mac,lpg,mit.ptp.lpg.mac.1,chn.mit.ptp.lpg.mac.1,3016, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,mac,ker,mit.ptp.ker.mac.1,chn.mit.ptp.ker.mac.1,3017, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,mac,oop,mit.ptp.oop.mac.1,chn.mit.ptp.oop.mac.1,3018, 63.732 , 64.864 , 30.950 , 46.186 , 44.332 , 44.037 , 43.743 , 43.375 , 42.628 , 42.951 , 42.158 , 41.429 , 40.701 , 39.945 
1, 1 ,mit,ptp,mac,bio,mit.ptp.bio.mac.1,chn.mit.ptp.bio.mac.1,3019, 10.491 , 10.677 , 5.095 , 5.351 , 5.243 , 5.153 , 5.068 , 5.004 , 4.919 , 4.866 , 4.803 , 4.747 , 4.691 , 4.635 
1, 1 ,mit,ptp,mac,ren,mit.ptp.ren.mac.1,chn.mit.ptp.ren.mac.1,3020, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
1, 1 ,mit,ptp,mch,coa,mit.ptp.coa.mch.1,chn.mit.ptp.coa.mch.1,2937, 4.296 , 4.372 , 2.086 , 2.191 , 2.147 , 2.110 , 2.075 , 2.049 , 2.014 , 1.992 , 1.966 , 1.944 , 1.921 , 1.898 
1, 1 ,mit,ptp,mch,nga,mit.ptp.nga.mch.1,chn.mit.ptp.nga.mch.1,2938, 6.975 , 5.943 , 5.141 , 4.921 , 4.821 , 4.776 , 4.749 , 4.738 , 4.730 , 4.941 , 4.875 , 4.802 , 4.743 , 4.673 
1, 1 ,mit,ptp,mch,gso,mit.ptp.gso.mch.1,chn.mit.ptp.gso.mch.1,2939, 0.504 , 0.448 , 0.378 , 0.565 , 0.542 , 0.538 , 0.535 , 0.530 , 0.521 , 0.525 , 0.515 , 0.506 , 0.498 , 0.488 
1, 1 ,mit,ptp,mch,die,mit.ptp.die.mch.1,chn.mit.ptp.die.mch.1,2940, 0.530 , 0.477 , 0.396 , 0.590 , 0.567 , 0.563 , 0.559 , 0.555 , 0.545 , 0.549 , 0.539 , 0.530 , 0.520 , 0.511 
1, 1 ,mit,ptp,mch,lpg,mit.ptp.lpg.mch.1,chn.mit.ptp.lpg.mch.1,2941, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,mch,ker,mit.ptp.ker.mch.1,chn.mit.ptp.ker.mch.1,2942, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,mch,oop,mit.ptp.oop.mch.1,chn.mit.ptp.oop.mch.1,2943, 63.732 , 64.864 , 30.950 , 46.186 , 44.332 , 44.037 , 43.743 , 43.375 , 42.628 , 42.951 , 42.158 , 41.429 , 40.701 , 39.945 
1, 1 ,mit,ptp,mch,bio,mit.ptp.bio.mch.1,chn.mit.ptp.bio.mch.1,2944, 10.491 , 10.677 , 5.095 , 5.351 , 5.243 , 5.153 , 5.068 , 5.004 , 4.919 , 4.866 , 4.803 , 4.747 , 4.691 , 4.635 
1, 1 ,mit,ptp,mch,ren,mit.ptp.ren.mch.1,chn.mit.ptp.ren.mch.1,2945, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
1, 1 ,mit,ptp,nav,coa,mit.ptp.coa.nav.1,chn.mit.ptp.coa.nav.1,2713, 4.296 , 4.372 , 2.086 , 2.191 , 2.147 , 2.110 , 2.075 , 2.049 , 2.014 , 1.992 , 1.966 , 1.944 , 1.921 , 1.898 
1, 1 ,mit,ptp,nav,nga,mit.ptp.nga.nav.1,chn.mit.ptp.nga.nav.1,2714, 6.975 , 5.943 , 5.141 , 4.921 , 4.821 , 4.776 , 4.749 , 4.738 , 4.730 , 4.941 , 4.875 , 4.802 , 4.743 , 4.673 
1, 1 ,mit,ptp,nav,gso,mit.ptp.gso.nav.1,chn.mit.ptp.gso.nav.1,2715, 0.504 , 0.448 , 0.378 , 0.565 , 0.542 , 0.538 , 0.535 , 0.530 , 0.521 , 0.525 , 0.515 , 0.506 , 0.498 , 0.488 
1, 1 ,mit,ptp,nav,die,mit.ptp.die.nav.1,chn.mit.ptp.die.nav.1,2716, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1, 1 ,mit,ptp,nav,lpg,mit.ptp.lpg.nav.1,chn.mit.ptp.lpg.nav.1,2717, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,nav,ker,mit.ptp.ker.nav.1,chn.mit.ptp.ker.nav.1,2718, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,nav,oop,mit.ptp.oop.nav.1,chn.mit.ptp.oop.nav.1,2719, 63.732 , 64.864 , 30.950 , 46.186 , 44.332 , 44.037 , 43.743 , 43.375 , 42.628 , 42.951 , 42.158 , 41.429 , 40.701 , 39.945 
1, 1 ,mit,ptp,nav,bio,mit.ptp.bio.nav.1,chn.mit.ptp.bio.nav.1,2720, 10.491 , 10.677 , 5.095 , 5.351 , 5.243 , 5.153 , 5.068 , 5.004 , 4.919 , 4.866 , 4.803 , 4.747 , 4.691 , 4.635 
1, 1 ,mit,ptp,nav,ren,mit.ptp.ren.nav.1,chn.mit.ptp.ren.nav.1,2721, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
1, 1 ,mit,ptp,nfm,coa,mit.ptp.coa.nfm.1,chn.mit.ptp.coa.nfm.1,2987, 4.296 , 4.372 , 2.086 , 2.191 , 2.147 , 2.110 , 2.075 , 2.049 , 2.014 , 1.992 , 1.966 , 1.944 , 1.921 , 1.898 
1, 1 ,mit,ptp,nfm,nga,mit.ptp.nga.nfm.1,chn.mit.ptp.nga.nfm.1,2988, 6.975 , 5.943 , 5.141 , 4.921 , 4.821 , 4.776 , 4.749 , 4.738 , 4.730 , 4.941 , 4.875 , 4.802 , 4.743 , 4.673 
1, 1 ,mit,ptp,nfm,gso,mit.ptp.gso.nfm.1,chn.mit.ptp.gso.nfm.1,2989, 0.504 , 0.448 , 0.378 , 0.565 , 0.542 , 0.538 , 0.535 , 0.530 , 0.521 , 0.525 , 0.515 , 0.506 , 0.498 , 0.488 
1, 1 ,mit,ptp,nfm,die,mit.ptp.die.nfm.1,chn.mit.ptp.die.nfm.1,2990, 0.530 , 0.477 , 0.396 , 0.590 , 0.567 , 0.563 , 0.559 , 0.555 , 0.545 , 0.549 , 0.539 , 0.530 , 0.520 , 0.511 
1, 1 ,mit,ptp,nfm,lpg,mit.ptp.lpg.nfm.1,chn.mit.ptp.lpg.nfm.1,2991, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,nfm,ker,mit.ptp.ker.nfm.1,chn.mit.ptp.ker.nfm.1,2992, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,nfm,oop,mit.ptp.oop.nfm.1,chn.mit.ptp.oop.nfm.1,2993, 63.732 , 64.864 , 30.950 , 46.186 , 44.332 , 44.037 , 43.743 , 43.375 , 42.628 , 42.951 , 42.158 , 41.429 , 40.701 , 39.945 
1, 1 ,mit,ptp,nfm,bio,mit.ptp.bio.nfm.1,chn.mit.ptp.bio.nfm.1,2994, 10.491 , 10.677 , 5.095 , 5.351 , 5.243 , 5.153 , 5.068 , 5.004 , 4.919 , 4.866 , 4.803 , 4.747 , 4.691 , 4.635 
1, 1 ,mit,ptp,nfm,ren,mit.ptp.ren.nfm.1,chn.mit.ptp.ren.nfm.1,2995, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
1, 1 ,mit,ptp,omn,coa,mit.ptp.coa.omn.1,chn.mit.ptp.coa.omn.1,3062, 4.296 , 4.372 , 2.086 , 2.191 , 2.147 , 2.110 , 2.075 , 2.049 , 2.014 , 1.992 , 1.966 , 1.944 , 1.921 , 1.898 
1, 1 ,mit,ptp,omn,nga,mit.ptp.nga.omn.1,chn.mit.ptp.nga.omn.1,3063, 6.975 , 5.943 , 5.141 , 4.921 , 4.821 , 4.776 , 4.749 , 4.738 , 4.730 , 4.941 , 4.875 , 4.802 , 4.743 , 4.673 
1, 1 ,mit,ptp,omn,gso,mit.ptp.gso.omn.1,chn.mit.ptp.gso.omn.1,3064, 0.504 , 0.448 , 0.378 , 0.565 , 0.542 , 0.538 , 0.535 , 0.530 , 0.521 , 0.525 , 0.515 , 0.506 , 0.498 , 0.488 
1, 1 ,mit,ptp,omn,die,mit.ptp.die.omn.1,chn.mit.ptp.die.omn.1,3065, 0.530 , 0.477 , 0.396 , 0.590 , 0.567 , 0.563 , 0.559 , 0.555 , 0.545 , 0.549 , 0.539 , 0.530 , 0.520 , 0.511 
1, 1 ,mit,ptp,omn,lpg,mit.ptp.lpg.omn.1,chn.mit.ptp.lpg.omn.1,3066, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,omn,ker,mit.ptp.ker.omn.1,chn.mit.ptp.ker.omn.1,3067, 0.535 , 0.477 , 0.387 , 0.577 , 0.554 , 0.550 , 0.547 , 0.542 , 0.533 , 0.537 , 0.527 , 0.518 , 0.509 , 0.499 
1, 1 ,mit,ptp,omn,oop,mit.ptp.oop.omn.1,chn.mit.ptp.oop.omn.1,3068, 63.732 , 64.864 , 30.950 , 46.186 , 44.332 , 44.037 , 43.743 , 43.375 , 42.628 , 42.951 , 42.158 , 41.429 , 40.701 , 39.945 
1, 1 ,mit,ptp,omn,bio,mit.ptp.bio.omn.1,chn.mit.ptp.bio.omn.1,3069, 10.491 , 10.677 , 5.095 , 5.351 , 5.243 , 5.153 , 5.068 , 5.004 , 4.919 , 4.866 , 4.803 , 4.747 , 4.691 , 4.635 
